Poll,Start Date,End Date,date,Sample,MoE,Biden (D),Trump (R),Spread
CNBC/Change Research (D)*CNBC*,2020-07-10,2020-07-12,2020-07-11,1258 LV,2.8,51,41,Biden +10
Rasmussen ReportsRasmussen,2020-07-08,2020-07-14,2020-07-11,1500 LV,2,47,44,Biden +3
QuinnipiacQuinnipiac,2020-07-09,2020-07-13,2020-07-11,1273 RV,2.8,52,37,Biden +15
CNBC/Change Research (D)*CNBC*,2020-07-10,2020-07-12,2020-07-11,1258 LV,2.8,51,41,Biden +10
Rasmussen ReportsRasmussen,2020-07-08,2020-07-14,2020-07-11,1500 LV,2,47,44,Biden +3
QuinnipiacQuinnipiac,2020-07-09,2020-07-13,2020-07-11,1273 RV,2.8,52,37,Biden +15
NBC News/Wall St. JrnlNBC/WSJ,2020-07-09,2020-07-12,2020-07-10,900 RV,3.3,51,40,Biden +11
NBC News/Wall St. JrnlNBC/WSJ,2020-07-09,2020-07-12,2020-07-10,900 RV,3.3,51,40,Biden +11
Economist/YouGovYouGov,2020-07-05,2020-07-07,2020-07-06,1165 RV,3.6,49,40,Biden +9
Rasmussen ReportsRasmussen,2020-07-05,2020-07-07,2020-07-06,1500 LV,2.5,50,40,Biden +10
The Hill/HarrisXThe Hill,2020-07-03,2020-07-04,2020-07-03,933 RV,3.2,43,39,Biden +4
Economist/YouGovYouGov,2020-06-28,2020-06-30,2020-06-29,1198 RV,3.4,49,40,Biden +9
IBD/TIPPIBD/TIPP,2020-06-27,2020-06-30,2020-06-28,1005 RV,3.1,48,40,Biden +8
MonmouthMonmouth,2020-06-26,2020-06-30,2020-06-28,733 RV,3.6,53,41,Biden +12
CNBC/Change Research (D)CNBC,2020-06-26,2020-06-28,2020-06-27,1663 LV,1.6,49,41,Biden +8
USA Today/SuffolkUSA Today,2020-06-25,2020-06-29,2020-06-27,1000 RV,3.1,53,41,Biden +12
NPR/PBS/MaristNPR/PBS,2020-06-22,2020-06-24,2020-06-23,1515 RV,3.5,52,44,Biden +8
The Hill/HarrisXThe Hill,2020-06-22,2020-06-23,2020-06-22,951 RV,3.2,43,39,Biden +4
Economist/YouGovYouGov,2020-06-21,2020-06-21,2020-06-21,1230 RV,3.3,49,41,Biden +8
CNBCCNBC,2020-06-19,2020-06-22,2020-06-20,800 RV,3.5,47,38,Biden +9
NY Times/SienaNYT/Siena,2020-06-17,2020-06-22,2020-06-19,1337 RV,3,50,36,Biden +14
Harvard-HarrisHarris,2020-06-17,2020-06-18,2020-06-17,LV,--,56,44,Biden +12
Economist/YouGovYouGov,2020-06-14,2020-06-16,2020-06-15,1160 RV,3.5,50,41,Biden +9
FOX NewsFOX News,2020-06-13,2020-06-16,2020-06-14,1343 RV,2.5,50,38,Biden +12
QuinnipiacQuinnipiac,2020-06-11,2020-06-15,2020-06-13,1332 RV,2.7,49,41,Biden +8
CNBC/Change Research (D)CNBC,2020-06-10,2020-06-12,2020-06-11,1250 LV,2.8,51,41,Biden +10
Economist/YouGovYouGov,2020-06-07,2020-06-09,2020-06-08,1241 RV,3.4,49,41,Biden +8
CNNCNN,2020-06-02,2020-06-05,2020-06-03,1125 RV,3.6,55,41,Biden +14
NPR/PBS/MaristNPR/PBS,2020-06-02,2020-06-03,2020-06-02,958 RV,4,50,43,Biden +7
EmersonEmerson,2020-06-02,2020-06-03,2020-06-02,1431 RV,2.5,53,47,Biden +6
The Hill/HarrisXThe Hill,2020-06-01,2020-06-04,2020-06-02,2827 RV,1.8,47,37,Biden +10
IBD/TIPPIBD/TIPP,2020-05-31,2020-06-03,2020-06-01,964 RV,2.9,45,42,Biden +3
Economist/YouGovYouGov,2020-05-31,2020-06-02,2020-06-01,1244 RV,3.2,47,40,Biden +7
NBC News/Wall St. JrnlNBC/WSJ,2020-05-28,2020-06-02,2020-05-30,1000 RV,3.1,49,42,Biden +7
CNBCCNBC,2020-05-29,2020-05-31,2020-05-30,1457 LV,2.6,48,41,Biden +7
MonmouthMonmouth,2020-05-28,2020-06-01,2020-05-30,742 RV,3.6,52,41,Biden +11
CBS News/YouGovCBS News,2020-05-29,2020-06-01,2020-05-30,1486 LV,2.6,47,43,Biden +4
ABC News/Wash PostABC/WP,2020-05-25,2020-05-28,2020-05-26,835 RV,4,53,43,Biden +10
Economist/YouGovYouGov,2020-05-23,2020-05-26,2020-05-24,1157 RV,3.4,45,42,Biden +3
FOX NewsFOX News,2020-05-17,2020-05-20,2020-05-18,1207 RV,3,48,40,Biden +8
Rasmussen ReportsRasmussen,2020-05-18,2020-05-19,2020-05-18,1000 LV,3,48,43,Biden +5
Economist/YouGovYouGov,2020-05-17,2020-05-19,2020-05-18,1235 RV,3.2,47,42,Biden +5
CNBCCNBC,2020-05-15,2020-05-17,2020-05-16,1424 LV,2.6,48,45,Biden +3
QuinnipiacQuinnipiac,2020-05-14,2020-05-18,2020-05-16,1323 RV,2.7,50,39,Biden +11
The Hill/HarrisXThe Hill,2020-05-13,2020-05-14,2020-05-13,950 RV,3.2,42,41,Biden +1
Harvard-HarrisHarris,2020-05-13,2020-05-14,2020-05-13,1854 RV,2,53,47,Biden +6
Economist/YouGovYouGov,2020-05-10,2020-05-12,2020-05-11,1175 RV,3.4,47,43,Biden +4
CNNCNN,2020-05-07,2020-05-10,2020-05-08,1001 RV,3.7,51,46,Biden +5
Economist/YouGovYouGov,2020-05-03,2020-05-05,2020-05-04,1209 RV,3.3,46,42,Biden +4
CNBCCNBC,2020-05-01,2020-05-03,2020-05-02,1489 LV,2.5,47,44,Biden +3
MonmouthMonmouth,2020-04-30,2020-05-04,2020-05-02,739 RV,3.6,50,41,Biden +9
CBS News/YouGovCBS News,2020-04-28,2020-05-01,2020-04-29,1671 LV,2.5,49,43,Biden +6
IBD/TIPPIBD/TIPP,2020-04-26,2020-04-29,2020-04-27,948 RV,3.3,43,43,Tie
EmersonEmerson,2020-04-26,2020-04-28,2020-04-27,1200 RV,2.8,48,42,Biden +6
Economist/YouGovYouGov,2020-04-26,2020-04-28,2020-04-27,1222 RV,3.2,47,41,Biden +6
USA Today/SuffolkUSA Today,2020-04-21,2020-04-25,2020-04-23,1000 RV,3,50,40,Biden +10
Economist/YouGovYouGov,2020-04-19,2020-04-21,2020-04-20,1144 RV,3.4,48,42,Biden +6
The Hill/HarrisXThe Hill,2020-04-19,2020-04-20,2020-04-19,958 RV,3.2,42,40,Biden +2
Harvard-HarrisHarris,2020-04-14,2020-04-16,2020-04-15,LV,--,53,47,Biden +6
NBC News/Wall St. JrnlNBC/WSJ,2020-04-13,2020-04-15,2020-04-14,900 RV,3.3,49,42,Biden +7
Economist/YouGovYouGov,2020-04-12,2020-04-14,2020-04-13,1166 RV,3.4,48,43,Biden +5
Economist/YouGovYouGov,2020-04-05,2020-04-07,2020-04-06,1147 RV,3.3,48,42,Biden +6
MonmouthMonmouth,2020-04-03,2020-04-07,2020-04-05,743 RV,3.6,48,44,Biden +4
FOX NewsFOX News,2020-04-04,2020-04-07,2020-04-05,1107 RV,3,42,42,Tie
CNBCCNBC,2020-04-03,2020-04-06,2020-04-04,604 RV,4,44,39,Biden +5
CNNCNN,2020-04-03,2020-04-06,2020-04-04,875 RV,3.9,53,42,Biden +11
QuinnipiacQuinnipiac,2020-04-02,2020-04-06,2020-04-04,2077 RV,2.2,49,41,Biden +8
IBD/TIPPIBD/TIPP,2020-03-29,2020-04-01,2020-03-30,980 RV,3.2,47,41,Biden +6
Economist/YouGovYouGov,2020-03-29,2020-03-31,2020-03-30,1194 RV,3.2,46,42,Biden +4
Grinnell/SelzerSelzer,2020-03-27,2020-03-30,2020-03-28,777 LV,3.5,47,43,Biden +4
Harvard-HarrisHarris,2020-03-24,2020-03-26,2020-03-25,2410 RV,2,55,45,Biden +10
ABC News/Wash PostABC/WP,2020-03-22,2020-03-25,2020-03-23,845 RV,3.5,49,47,Biden +2
Economist/YouGovYouGov,2020-03-22,2020-03-24,2020-03-23,1170 RV,3.4,46,42,Biden +4
FOX NewsFOX News,2020-03-21,2020-03-24,2020-03-22,1011 RV,3,49,40,Biden +9
MonmouthMonmouth,2020-03-18,2020-03-22,2020-03-20,754 RV,3.6,48,45,Biden +3
EmersonEmerson,2020-03-18,2020-03-19,2020-03-18,1100 RV,2.9,53,47,Biden +6
Economist/YouGovYouGov,2020-03-15,2020-03-17,2020-03-16,1129 RV,3.5,48,41,Biden +7
NBC News/Wall St. JrnlNBC/WSJ,2020-03-11,2020-03-13,2020-03-12,900 RV,3.3,52,43,Biden +9
Economist/YouGovYouGov,2020-03-08,2020-03-10,2020-03-09,1191 RV,2.9,47,43,Biden +4
QuinnipiacQuinnipiac,2020-03-05,2020-03-08,2020-03-06,1261 RV,2.8,52,41,Biden +11
CNNCNN,2020-03-04,2020-03-07,2020-03-05,1084 RV,3.5,53,43,Biden +10
Harvard-HarrisHarris,2020-02-26,2020-02-26,2020-02-26,2592 RV,--,55,45,Biden +10
IBD/TIPPIBD/TIPP,2020-02-20,2020-02-29,2020-02-24,839 RV,3.5,49,46,Biden +3
FOX NewsFOX News,2020-02-23,2020-02-26,2020-02-24,1000 RV,3,49,41,Biden +8
CBS News/YouGovCBS News,2020-02-20,2020-02-22,2020-02-21,10000 RV,1.2,47,45,Biden +2
EmersonEmerson,2020-02-16,2020-02-18,2020-02-17,1250 RV,2.7,48,52,Trump +4
ABC News/Wash PostABC/WP,2020-02-14,2020-02-17,2020-02-15,913 RV,4,52,45,Biden +7
NBC News/Wall St. JrnlNBC/WSJ,2020-02-14,2020-02-17,2020-02-15,900 RV,3.3,52,44,Biden +8
NPR/PBS/MaristNPR/PBS,2020-02-13,2020-02-16,2020-02-14,1164 RV,3.7,50,44,Biden +6
QuinnipiacQuinnipiac,2020-02-05,2020-02-09,2020-02-07,1519 RV,2.5,50,43,Biden +7
NBC News/Wall St. JrnlNBC/WSJ,2020-01-26,2020-01-29,2020-01-27,1000 RV,3.1,50,44,Biden +6
IBD/TIPPIBD/TIPP,2020-01-23,2020-01-30,2020-01-26,856 RV,3.3,49,48,Biden +1
EmersonEmerson,2020-01-21,2020-01-23,2020-01-22,1128 RV,2.8,50,50,Tie
ABC News/Wash PostABC/WP,2020-01-20,2020-01-23,2020-01-21,880 RV,4,50,46,Biden +4
LA Times/USCLA Times,2020-01-15,2020-01-28,2020-01-21,4869 RV,2,49,40,Biden +9
FOX NewsFOX News,2020-01-19,2020-01-22,2020-01-20,1005 RV,3,50,41,Biden +9
CNNCNN,2020-01-16,2020-01-19,2020-01-17,1051 RV,3.6,53,44,Biden +9
IBD/TIPPIBD/TIPP,2020-01-03,2020-01-11,2020-01-07,846 RV,3.3,48,46,Biden +2
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
