,Poll,Start Date,End Date,Date,Sample,MoE,Biden (D),Trump (R),Spread
28,CNBC/Change Research (D)CNBC,6/10/2020,6/12/2020,6/11/2020,1250 LV,2.8,51.0,41.0,Biden +10
29,Economist/YouGovYouGov,6/7/2020,6/9/2020,6/8/2020,1241 RV,3.4,49.0,41.0,Biden +8
30,CNNCNN,6/2/2020,6/5/2020,6/3/2020,1125 RV,3.6,55.0,41.0,Biden +14
31,NPR/PBS/MaristNPR/PBS,6/2/2020,6/3/2020,6/2/2020,958 RV,4.0,50.0,43.0,Biden +7
32,EmersonEmerson,6/2/2020,6/3/2020,6/2/2020,1431 RV,2.5,53.0,47.0,Biden +6
33,The Hill/HarrisXThe Hill,6/1/2020,6/4/2020,6/2/2020,2827 RV,1.8,47.0,37.0,Biden +10
34,IBD/TIPPIBD/TIPP,5/31/2020,6/3/2020,6/1/2020,964 RV,2.9,45.0,42.0,Biden +3
35,NBC News/Wall St. JrnlNBC/WSJ,5/28/2020,6/2/2020,5/30/2020,1000 RV,3.1,49.0,42.0,Biden +7
36,Economist/YouGovYouGov,5/31/2020,6/2/2020,6/1/2020,1244 RV,3.2,47.0,40.0,Biden +7
37,CNBCCNBC,5/29/2020,5/31/2020,5/30/2020,1457 LV,2.6,48.0,41.0,Biden +7
38,MonmouthMonmouth,5/28/2020,6/1/2020,5/30/2020,742 RV,3.6,52.0,41.0,Biden +11
39,CBS News/YouGovCBS News,5/29/2020,6/1/2020,5/30/2020,1486 LV,2.6,47.0,43.0,Biden +4
40,ABC News/Wash PostABC/WP,5/25/2020,5/28/2020,5/26/2020,835 RV,4.0,53.0,43.0,Biden +10
41,Economist/YouGovYouGov,5/23/2020,5/26/2020,5/24/2020,1157 RV,3.4,45.0,42.0,Biden +3
42,FOX NewsFOX News,5/17/2020,5/20/2020,5/18/2020,1207 RV,3.0,48.0,40.0,Biden +8
43,Rasmussen ReportsRasmussen,5/18/2020,5/19/2020,5/18/2020,1000 LV,3.0,48.0,43.0,Biden +5
44,Economist/YouGovYouGov,5/17/2020,5/19/2020,5/18/2020,1235 RV,3.2,47.0,42.0,Biden +5
45,CNBCCNBC,5/15/2020,5/17/2020,5/16/2020,1424 LV,2.6,48.0,45.0,Biden +3
46,QuinnipiacQuinnipiac,5/14/2020,5/18/2020,5/16/2020,1323 RV,2.7,50.0,39.0,Biden +11
47,The Hill/HarrisXThe Hill,5/13/2020,5/14/2020,5/13/2020,950 RV,3.2,42.0,41.0,Biden +1
48,Harvard-HarrisHarris,5/13/2020,5/14/2020,5/13/2020,1854 RV,2.0,53.0,47.0,Biden +6
49,Economist/YouGovYouGov,5/10/2020,5/12/2020,5/11/2020,1175 RV,3.4,47.0,43.0,Biden +4
50,CNNCNN,5/7/2020,5/10/2020,5/8/2020,1001 RV,3.7,51.0,46.0,Biden +5
51,Economist/YouGovYouGov,5/3/2020,5/5/2020,5/4/2020,1209 RV,3.3,46.0,42.0,Biden +4
52,CNBCCNBC,5/1/2020,5/3/2020,5/2/2020,1489 LV,2.5,47.0,44.0,Biden +3
53,MonmouthMonmouth,4/30/2020,5/4/2020,5/2/2020,739 RV,3.6,50.0,41.0,Biden +9
54,CBS News/YouGovCBS News,4/28/2020,5/1/2020,4/29/2020,1671 LV,2.5,49.0,43.0,Biden +6
55,IBD/TIPPIBD/TIPP,4/26/2020,4/29/2020,4/27/2020,948 RV,3.3,43.0,43.0,Tie
56,EmersonEmerson,4/26/2020,4/28/2020,4/27/2020,1200 RV,2.8,48.0,42.0,Biden +6
57,Economist/YouGovYouGov,4/26/2020,4/28/2020,4/27/2020,1222 RV,3.2,47.0,41.0,Biden +6
58,USA Today/SuffolkUSA Today,4/21/2020,4/25/2020,4/23/2020,1000 RV,3.0,50.0,40.0,Biden +10
59,Economist/YouGovYouGov,4/19/2020,4/21/2020,4/20/2020,1144 RV,3.4,48.0,42.0,Biden +6
60,The Hill/HarrisXThe Hill,4/19/2020,4/20/2020,4/19/2020,958 RV,3.2,42.0,40.0,Biden +2
61,NBC News/Wall St. JrnlNBC/WSJ,4/13/2020,4/15/2020,4/14/2020,900 RV,3.3,49.0,42.0,Biden +7
62,Harvard-HarrisHarris,4/14/2020,4/16/2020,4/15/2020,LV,--,53.0,47.0,Biden +6
63,Economist/YouGovYouGov,4/12/2020,4/14/2020,4/13/2020,1166 RV,3.4,48.0,43.0,Biden +5
64,MonmouthMonmouth,4/3/2020,4/7/2020,4/5/2020,743 RV,3.6,48.0,44.0,Biden +4
65,FOX NewsFOX News,4/4/2020,4/7/2020,4/5/2020,1107 RV,3.0,42.0,42.0,Tie
66,Economist/YouGovYouGov,4/5/2020,4/7/2020,4/6/2020,1147 RV,3.3,48.0,42.0,Biden +6
67,CNBCCNBC,4/3/2020,4/6/2020,4/4/2020,604 RV,4.0,44.0,39.0,Biden +5
68,CNNCNN,4/3/2020,4/6/2020,4/4/2020,875 RV,3.9,53.0,42.0,Biden +11
69,QuinnipiacQuinnipiac,4/2/2020,4/6/2020,4/4/2020,2077 RV,2.2,49.0,41.0,Biden +8
70,IBD/TIPPIBD/TIPP,3/29/2020,4/1/2020,3/30/2020,980 RV,3.2,47.0,41.0,Biden +6
71,Economist/YouGovYouGov,3/29/2020,3/31/2020,3/30/2020,1194 RV,3.2,46.0,42.0,Biden +4
72,Grinnell/SelzerSelzer,3/27/2020,3/30/2020,3/28/2020,777 LV,3.5,47.0,43.0,Biden +4
73,Harvard-HarrisHarris,3/24/2020,3/26/2020,3/25/2020,2410 RV,2.0,55.0,45.0,Biden +10
74,ABC News/Wash PostABC/WP,3/22/2020,3/25/2020,3/23/2020,845 RV,3.5,49.0,47.0,Biden +2
75,Economist/YouGovYouGov,3/22/2020,3/24/2020,3/23/2020,1170 RV,3.4,46.0,42.0,Biden +4
76,FOX NewsFOX News,3/21/2020,3/24/2020,3/22/2020,1011 RV,3.0,49.0,40.0,Biden +9
77,MonmouthMonmouth,3/18/2020,3/22/2020,3/20/2020,754 RV,3.6,48.0,45.0,Biden +3
78,EmersonEmerson,3/18/2020,3/19/2020,3/18/2020,1100 RV,2.9,53.0,47.0,Biden +6
79,Economist/YouGovYouGov,3/15/2020,3/17/2020,3/16/2020,1129 RV,3.5,48.0,41.0,Biden +7
80,NBC News/Wall St. JrnlNBC/WSJ,3/11/2020,3/13/2020,3/12/2020,900 RV,3.3,52.0,43.0,Biden +9
81,Economist/YouGovYouGov,3/8/2020,3/10/2020,3/9/2020,1191 RV,2.9,47.0,43.0,Biden +4
82,CNNCNN,3/4/2020,3/7/20,3/5/2020,1084 RV,3.5,53.0,43.0,Biden +10
83,QuinnipiacQuinnipiac,3/5/2020,3/8/2020,3/6/2020,1261 RV,2.8,52.0,41.0,Biden +11
84,Harvard-HarrisHarris,2/26/2020,2/26/2020,2/26/2020,2592 RV,--,55.0,45.0,Biden +10
85,IBD/TIPPIBD/TIPP,2/20/2020,2/29/2020,2/24/2020,839 RV,3.5,49.0,46.0,Biden +3
86,FOX NewsFOX News,2/23/2020,2/26/2020,2/24/2020,1000 RV,3.0,49.0,41.0,Biden +8
87,CBS News/YouGovCBS News,2/20/2020,2/22/2020,2/21/2020,10000 RV,1.2,47.0,45.0,Biden +2
88,ABC News/Wash PostABC/WP,2/14/2020,2/17/2020,2/15/2020,913 RV,4.0,52.0,45.0,Biden +7
89,EmersonEmerson,2/16/2020,2/18/2020,2/17/2020,1250 RV,2.7,48.0,52.0,Trump +4
90,NBC News/Wall St. JrnlNBC/WSJ,2/14/2020,2/17/2020,2/15/2020,900 RV,3.3,52.0,44.0,Biden +8
91,NPR/PBS/MaristNPR/PBS,2/13/2020,2/16/2020,2/14/2020,1164 RV,3.7,50.0,44.0,Biden +6
92,QuinnipiacQuinnipiac,2/5/2020,2/9/2020,2/7/2020,1519 RV,2.5,50.0,43.0,Biden +7
93,NBC News/Wall St. JrnlNBC/WSJ,1/26/2020,1/29/2020,1/27/2020,1000 RV,3.1,50.0,44.0,Biden +6
94,IBD/TIPPIBD/TIPP,1/23/2020,1/30/2020,1/26/2020,856 RV,3.3,49.0,48.0,Biden +1
95,EmersonEmerson,1/21/2020,1/23/2020,1/22/2020,1128 RV,2.8,50.0,50.0,Tie
96,ABC News/Wash PostABC/WP,1/20/2020,1/23/2020,1/21/2020,880 RV,4.0,50.0,46.0,Biden +4
97,LA Times/USCLA Times,1/15/2020,1/28/2020,1/21/2020,4869 RV,2.0,49.0,40.0,Biden +9
98,FOX NewsFOX News,1/19/2020,1/22/2020,1/20/2020,1005 RV,3.0,50.0,41.0,Biden +9
99,CNNCNN,1/16/2020,1/19/2020,1/17/2020,1051 RV,3.6,53.0,44.0,Biden +9
100,IBD/TIPPIBD/TIPP,1/3/2020,1/11/2020,1/7/2020,846 RV,3.3,48.0,46.0,Biden +2
101,EmersonEmerson,12/15/2020,12/17/2020,12/16/2020,1222 RV,2.7,52.0,48.0,Biden +4
