,Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
96,FOX NewsFOX News,2/23 - 2/26,1000 RV,3.0,49.0,41.0,Biden +8
97,CBS News/YouGovCBS News,2/20 - 2/22,10000 RV,1.2,47.0,45.0,Biden +2
98,ABC News/Wash PostABC/WP,2/14 - 2/17,913 RV,4.0,52.0,45.0,Biden +7
99,EmersonEmerson,2/16 - 2/18,1250 RV,2.7,48.0,52.0,Trump +4
100,NBC News/Wall St. JrnlNBC/WSJ,2/14 - 2/17,900 RV,3.3,52.0,44.0,Biden +8
101,NPR/PBS/MaristNPR/PBS,2/13 - 2/16,1164 RV,3.7,50.0,44.0,Biden +6
102,QuinnipiacQuinnipiac,2/5 - 2/9,1519 RV,2.5,50.0,43.0,Biden +7
103,NBC News/Wall St. JrnlNBC/WSJ,1/26 - 1/29,1000 RV,3.1,50.0,44.0,Biden +6
104,IBD/TIPPIBD/TIPP,1/23 - 1/30,856 RV,3.3,49.0,48.0,Biden +1
105,EmersonEmerson,1/21 - 1/23,1128 RV,2.8,50.0,50.0,Tie
106,ABC News/Wash PostABC/WP,1/20 - 1/23,880 RV,4.0,50.0,46.0,Biden +4
107,LA Times/USCLA Times,1/15 - 1/28,4869 RV,2.0,49.0,40.0,Biden +9
108,FOX NewsFOX News,1/19 - 1/22,1005 RV,3.0,50.0,41.0,Biden +9
109,CNNCNN,1/16 - 1/19,1051 RV,3.6,53.0,44.0,Biden +9
110,IBD/TIPPIBD/TIPP,1/3 - 1/11,846 RV,3.3,48.0,46.0,Biden +2
111,EmersonEmerson,12/15 - 12/17,1222 RV,2.7,52.0,48.0,Biden +4
112,CNNCNN,12/12 - 12/15,888 RV,4.0,49.0,44.0,Biden +5
113,USA Today/SuffolkUSA Today,12/10 - 12/14,1000 RV,3.0,41.0,44.0,Trump +3
114,IBD/TIPPIBD/TIPP,12/5 - 12/14,849 RV,3.5,50.0,45.0,Biden +5
115,FOX NewsFOX News,12/8 - 12/11,1000 RV,3.0,48.0,41.0,Biden +7
116,QuinnipiacQuinnipiac,12/4 - 12/9,1553 RV,2.5,51.0,42.0,Biden +9
117,SurveyUSASUSA,11/20 - 11/21,3850 RV,1.7,52.0,39.0,Biden +13
118,EmersonEmerson,11/17 - 11/20,1092 RV,2.9,49.0,51.0,Trump +2
119,NBC News/Wall St. JrnlNBC/WSJ,10/27 - 10/30,720 RV,3.7,50.0,41.0,Biden +9
120,ABC News/Wash PostABC/WP,10/27 - 10/30,876 RV,4.0,56.0,39.0,Biden +17
121,FOX NewsFOX News,10/27 - 10/30,1040 RV,3.0,51.0,39.0,Biden +12
122,IBD/TIPPIBD/TIPP,10/24 - 10/31,863 RV,3.5,53.0,43.0,Biden +10
123,EmersonEmerson,10/18 - 10/21,1000 RV,3.0,51.0,49.0,Biden +2
124,CNNCNN,10/17 - 10/20,892 RV,4.0,53.0,43.0,Biden +10
125,SurveyUSASUSA,10/15 - 10/16,3080 RV,2.1,52.0,41.0,Biden +11
126,FOX NewsFOX News,10/6 - 10/8,1003 RV,3.0,50.0,40.0,Biden +10
127,QuinnipiacQuinnipiac,10/4 - 10/7,1483 RV,3.1,51.0,40.0,Biden +11
128,IBD/TIPPIBD/TIPP,9/26 - 10/3,863 RV,3.5,51.0,44.0,Biden +7
129,Rasmussen ReportsRasmussen,9/23 - 9/24,1000 LV,3.0,43.0,47.0,Trump +4
130,EmersonEmerson,9/21 - 9/23,1019 RV,3.0,50.0,49.0,Biden +1
131,FOX NewsFOX News,9/15 - 9/17,1008 RV,3.0,52.0,38.0,Biden +14
132,SurveyUSASUSA,9/13 - 9/16,4520 RV,1.6,49.0,41.0,Biden +8
133,ABC News/Wash PostABC/WP,9/2 - 9/5,877 RV,4.0,55.0,40.0,Biden +15
134,IBD/TIPPIBD/TIPP,8/22 - 8/30,848 RV,3.5,54.0,42.0,Biden +12
135,EmersonEmerson,8/24 - 8/26,1458 RV,2.5,54.0,46.0,Biden +8
136,QuinnipiacQuinnipiac,8/21 - 8/26,1422 RV,4.6,54.0,38.0,Biden +16
137,FOX NewsFOX News,8/11 - 8/13,1013 RV,3.0,50.0,38.0,Biden +12
138,SurveyUSASUSA,8/1 - 8/5,5459 RV,1.6,50.0,42.0,Biden +8
139,IBD/TIPPIBD/TIPP,7/25 - 8/1,856 RV,3.5,54.0,41.0,Biden +13
140,EmersonEmerson,7/27 - 7/29,1233 RV,2.7,51.0,49.0,Biden +2
141,FOX NewsFOX News,7/21 - 7/23,1004 RV,3.0,49.0,39.0,Biden +10
142,NBC News/Wall St. JrnlNBC/WSJ,7/7 - 7/9,800 RV,3.5,51.0,42.0,Biden +9
143,EmersonEmerson,7/6 - 7/8,1100 RV,2.9,53.0,47.0,Biden +6
144,ABC News/Wash PostABC/WP,6/28 - 7/1,875 RV,4.0,53.0,43.0,Biden +10
145,Rasmussen ReportsRasmussen,6/23 - 7/2,4500 LV,1.5,48.0,44.0,Biden +4
146,EmersonEmerson,6/21 - 6/24,1096 RV,2.9,55.0,45.0,Biden +10
147,FOX NewsFOX News,6/9 - 6/12,1001 RV,3.0,49.0,39.0,Biden +10
148,QuinnipiacQuinnipiac,6/6 - 6/10,1214 RV,3.5,53.0,40.0,Biden +13
149,FOX NewsFOX News,5/11 - 5/14,1001 RV,3.0,49.0,38.0,Biden +11
150,EmersonEmerson,5/10 - 5/13,1006 RV,3.0,54.0,46.0,Biden +8
151,CNNCNN,4/25 - 4/29,470 RV,5.5,51.0,45.0,Biden +6
152,The Hill/HarrisXThe Hill,4/25 - 4/26,1000 RV,3.1,43.0,37.0,Biden +6
153,Politico/Morning ConsultPolitico,4/19 - 4/21,1992 RV,2.0,42.0,34.0,Biden +8
154,EmersonEmerson,4/11 - 4/14,914 RV,3.2,53.0,47.0,Biden +6
155,PPP (D)PPP (D),3/27 - 3/28,846 RV,3.4,53.0,40.0,Biden +13
156,Rasmussen ReportsRasmussen,3/17 - 3/21,5000 LV,1.5,49.0,44.0,Biden +5
157,FOX NewsFOX News,3/17 - 3/20,1002 RV,3.0,47.0,40.0,Biden +7
158,EmersonEmerson,3/17 - 3/18,1153 RV,2.8,55.0,45.0,Biden +10
159,EmersonEmerson,2/14 - 2/16,1000 RV,3.3,55.0,45.0,Biden +10
160,PPP (D)PPP (D),1/19 - 1/21,760 RV,3.6,53.0,41.0,Biden +12
161,PPP (D)PPP (D),6/8 - 6/10,679 RV,3.8,53.0,39.0,Biden +14
162,PPP (D)PPP (D),3/23 - 3/25,846 RV,3.4,56.0,39.0,Biden +17
163,PPP (D)PPP (D),2/9 - 2/11,687 RV,3.7,51.0,42.0,Biden +9
164,CNNCNN,1/14 - 1/18,918 RV,3.8,57.0,40.0,Biden +17
165,PPP (D)PPP (D),12/11 - 12/12,862 RV,3.3,54.0,40.0,Biden +14
166,PPP (D)PPP (D),10/27 - 10/29,572 RV,4.1,56.0,38.0,Biden +18
167,EmersonEmerson,10/12 - 10/14,820 RV,3.4,51.0,42.0,Biden +9
168,PPP (D)PPP (D),9/22 - 9/25,865 RV,3.3,53.0,40.0,Biden +13
169,PPP (D)PPP (D),8/18 - 8/21,887 RV,3.3,51.0,39.0,Biden +12
170,PPP (D)PPP (D),7/14 - 7/17,836 RV,3.4,54.0,39.0,Biden +15
171,PPP (D)PPP (D),6/9 - 6/11,811 RV,3.4,54.0,41.0,Biden +13
172,PPP (D)PPP (D),5/12 - 5/14,692 RV,3.7,54.0,40.0,Biden +14
173,PPP (D)PPP (D),4/17 - 4/18,648 RV,3.9,54.0,40.0,Biden +14
174,PPP (D)PPP (D),3/27 - 3/28,677 RV,3.8,54.0,40.0,Biden +14
